m_hidden,sparsity,seed,checkpoint_step,n_eigenspaces,n_eigenvectors,degeneracy_ratio,n_clusters,mean_participation_ratio,mean_max_space_projection
144,0.6061224489795918,0,25000,141,144,0.9791666666666666,2,22.576364743729002,0.23962207475785802
144,0.6061224489795918,1,25000,142,144,0.9861111111111112,2,21.398891295793348,0.24944743787830242
144,0.6263265306122449,0,25000,138,144,0.9583333333333334,2,21.440510784883752,0.24349758356043044
144,0.6263265306122449,1,25000,138,144,0.9583333333333334,1,21.093124649850218,0.2477831033976124
144,0.6465306122448979,0,25000,142,144,0.9861111111111112,1,24.15379130141439,0.23135907997829241
144,0.6465306122448979,1,25000,143,144,0.9930555555555556,2,22.359154063686024,0.2416356419133707
144,0.666734693877551,0,25000,138,144,0.9583333333333334,2,23.515079825518598,0.23120058348617908
144,0.666734693877551,1,25000,140,144,0.9722222222222222,1,22.828798193300536,0.23588280884840684
144,0.6869387755102041,0,25000,140,144,0.9722222222222222,2,25.589290800286395,0.22289052895773864
144,0.6869387755102041,1,25000,139,144,0.9652777777777778,1,23.85419471669749,0.2287104538800649
144,0.7071428571428571,0,25000,142,144,0.9861111111111112,3,27.245857008714715,0.21330103991797233
144,0.7071428571428571,1,25000,141,144,0.9791666666666666,2,25.221327292066054,0.22156044664569524
144,0.7273469387755102,0,25000,139,144,0.9652777777777778,3,28.39079580833188,0.20639596810312694
144,0.7273469387755102,1,25000,139,144,0.9652777777777778,25,47.62759323928387,0.06381746640010275
144,0.7475510204081632,0,25000,143,144,0.9930555555555556,25,43.60430753308919,0.07849256004436711
144,0.7475510204081632,1,25000,142,144,0.9861111111111112,26,41.70706333131426,0.07710838766592436
144,0.7677551020408163,0,25000,140,144,0.9722222222222222,32,44.48102363931285,0.0698972053898641
144,0.7677551020408163,1,25000,142,144,0.9861111111111112,25,45.01703174867337,0.07266406162020153
144,0.7879591836734694,0,25000,143,144,0.9930555555555556,26,46.43678567911125,0.06658134610514703
144,0.7879591836734694,1,25000,141,144,0.9791666666666666,28,46.344111947336714,0.06461131033390559
144,0.8081632653061224,0,25000,142,144,0.9861111111111112,30,47.440729180506295,0.06427068747543889
144,0.8081632653061224,1,25000,138,144,0.9583333333333334,23,46.35616348146297,0.06478827821687795
144,0.8283673469387755,0,25000,142,144,0.9861111111111112,25,47.792952887560645,0.06204957275140593
144,0.8283673469387755,1,25000,143,144,0.9930555555555556,29,48.027253312082706,0.06151847010316097
144,0.8485714285714285,0,25000,141,144,0.9791666666666666,30,46.623207637742624,0.06412013180045265
144,0.8485714285714285,1,25000,141,144,0.9791666666666666,32,47.835573805905604,0.06084334158913001
144,0.8687755102040816,0,25000,141,144,0.9791666666666666,24,47.49022470526879,0.06093654049877656
144,0.8687755102040816,1,25000,142,144,0.9861111111111112,27,47.29126335825369,0.062074709378697725
144,0.8889795918367347,0,25000,143,144,0.9930555555555556,29,47.712120590127896,0.06138701605859533
144,0.8889795918367347,1,25000,141,144,0.9791666666666666,27,47.17942409144927,0.06236852332057695
144,0.9091836734693878,0,25000,143,144,0.9930555555555556,32,48.847151192401384,0.05905890061768032
144,0.9091836734693878,1,25000,141,144,0.9791666666666666,24,48.342475291186574,0.059822625136571106
